municipality_of_production,municipality_of_production_id,state_of_production,state_of_production_id,volume_tons,volume_pct,fob_usd,fob_pct,deforestation_exposure_ha,deforestation_exposure_pct,gross_emissions_tons_co2,gross_emissions_pct
UNKNOWN,XXXXXXX,UNKNOWN STATE,XX,1.775837251519484E7,0.14580218508812498,6.221014433061378E9,0.18323329913602024,375.00559617448204,9.002042785097565E-4,,
SORRISO,5107925,MATO GROSSO,51,2196004.787848165,0.018029934683388624,7.775169387643644E8,0.022900926425567722,484.26258094494824,0.0011624766449778215,99694.560688456,0.0015877035684983666
SAO DESIDERIO,2928901,BAHIA,29,1456251.9128346783,0.011956315858808768,3.75465777307424E8,0.011058941243261832,7250.90702999834,0.01740586700056595,1015969.3351830839,0.016180001474662975
NOVA MUTUM,5106224,MATO GROSSO,51,1416573.8502043816,0.01163054567763869,1.901313336770281E8,0.005600114244009124,1458.346671497356,0.0035007741927711397,484847.99695853406,0.007721533548414414
FORMOSA DO RIO PRETO,2911105,BAHIA,29,1408305.7490347992,0.011562661798301026,4.6314305861907387E8,0.013641381404247716,5713.490390336258,0.013715284643944373,878476.5424659133,0.013990335397272501
RIO VERDE,5218805,GOIAS,52,1364780.955333679,0.01120530866688635,4.8926054666959894E8,0.014410643966187842,508.98220970654006,0.0012218163343087618,82704.95809360583,0.0013171326117587358
NOVA UBIRATA,5106240,MATO GROSSO,51,1350781.9050908454,0.011090371776536904,4.657159858966747E8,0.01371716421404259,3416.1609624647795,0.008200524861122226,1728979.9324162,0.027535179347825057
CAMPO NOVO DO PARECIS,5102637,MATO GROSSO,51,1177557.7679540485,0.009668143603153363,3.921061416955152E8,0.011549065305577347,349.20950385364904,8.382805288032535E-4,60552.28021571303,9.643361755676298E-4
QUERENCIA,5107065,MATO GROSSO,51,1160178.843390823,0.009525456812816477,3.965335065185813E8,0.011679468581721161,2599.744278905228,0.006240709330142519,1540801.4273909945,0.024538308887892307
DIAMANTINO,5103502,MATO GROSSO,51,1151755.5302193007,0.009456298590967109,3.643732290273169E8,0.010732222146391098,1937.971573781245,0.004652118048756936,657830.0748135404,0.010476390587755959
MARACAJU,5005400,MATO GROSSO DO SUL,50,1122303.3951913672,0.009214486699764303,3.9215594836134404E8,0.011550532307430016,310.1250663745182,7.444579880177813E-4,51008.244532107376,8.123409272000719E-4
JATAI,5211909,GOIAS,52,1045956.8490151162,0.008587655989523022,1.4525880216690528E8,0.004278442018738512,834.062206403402,0.0020021737659570464,132766.71977205455,0.0021144001568816012
CRISTALINA,5206206,GOIAS,52,923633.1827200489,0.007583337726768314,2.1563084529939112E8,0.006351174973926703,3672.3117631521022,0.008815417142930044,418582.3092130299,0.006666207478707201
PRIMAVERA DO LESTE,5107040,MATO GROSSO,51,859686.6395357526,0.007058315193474515,2.933847250154152E8,0.00864133199804107,481.86147540966175,0.0011567127697235103,69544.87477715971,0.0011075493496532762
PONTA PORA,5006606,MATO GROSSO DO SUL,50,843417.635133749,0.006924741219339734,2.864737962515308E8,0.008437778013216542,910.9730693838538,0.002186798978554318,169330.62566727857,0.0026967051840284606
LUCAS DO RIO VERDE,5105259,MATO GROSSO,51,838893.2668577483,0.006887594640720558,2.790605643866585E8,0.008219429229995285,195.8446542365279,4.701268393471057E-4,64601.12394211722,0.001028816760950745
SIDROLANDIA,5007901,MATO GROSSO DO SUL,50,833023.645049174,0.006839403080114496,1.5122527439903355E8,0.004454178050708835,246.7156687354914,5.922431634000185E-4,42094.878367369914,6.703895191256596E-4
PARANATINGA,5106307,MATO GROSSO,51,811488.0238086641,0.0066625884181059185,1.5446198700113234E8,0.004549511944371873,3194.2313689452412,0.007667780892359517,456203.90831789473,0.007265356988358688
BARREIRAS,2903201,BAHIA,29,776277.7745660597,0.006373500480983495,1.830802895414431E8,0.0053924333113865115,6798.996582016499,0.016321051939333548,849198.3622003592,0.013524060497561333
CAMPO VERDE,5102678,MATO GROSSO,51,732009.7774747903,0.006010045400859504,2.4985305833045906E8,0.00735915350618876,195.89201263814383,4.7024052361260187E-4,31504.397404390977,5.017289191799828E-4
IPIRANGA DO NORTE,5104526,MATO GROSSO,51,707165.3931248324,0.005806064685718314,1.8637471778866154E8,0.005489467157393468,154.60375789582992,3.711276998297314E-4,91696.36524123554,0.0014603268754731298
SAPEZAL,5107875,MATO GROSSO,51,661061.7205892332,0.005427538095484548,2.256180173709742E8,0.006645336401681944,520.2548101049856,0.0012488763121121062,72852.14498413165,0.0011602198732338642
LUIS EDUARDO MAGALHAES,2919553,BAHIA,29,643534.143183952,0.00528363081553507,2.2282938956665328E8,0.006563200364521729,3260.1915051526507,0.007826118787662203,413189.91630537395,0.006580329960384158
DOURADOS,5003702,MATO GROSSO DO SUL,50,621031.0531190063,0.005098872910502017,2.131821765342044E8,0.006279052065168928,325.5521539442835,7.814908493321651E-4,69141.84671826233,0.0011011308541717024
